"year","project_name","start_time","close_time","open_time"
"112","小犬颱風","45568.47917","45571.33333","68.5"
"112","0906強化三級","45541.54167","45541.79167","6"
"112","海葵颱風","45536.75","45539.5","66"
"112","0820強化三級","45524.58333","45524.75","4"
"112","0819強化三級","45523.75","45523.8125","1.5"
"112","0817強化三級","45521.58333","45521.66667","2"
"112","0811強化三級","45515.5625","45515.72917","4"
"112","0810強化三級","45514.65278","45514.83333","4.5"
"112","卡努颱風","45505.84722","45508.52083","64"
"112","0730強化三級","45503.67361","45503.72917","1.5"
"112","杜蘇芮颱風","45499.875","45501.47917","38.5"
"112","0630強化三級","45473.625","45473.70833","2"
"112","0624強化三級","45467.73611","45467.83333","2.5"
"112","0623強化三級","45466.60417","45466.72917","3"
"112","0616強化三級","45459.60417","45459.75","3.5"
"111","1111016強化三級","45215.41667","45216.5","26"
"111","梅花颱風","45180.47917","45182.72917","54"
"111","軒嵐諾颱風","45171.47917","45173.79167","55.5"
"111","1110825強化三級","45163.65972","45163.74306","2"
"111","1110802強化三級","45140.36806","45140.44444","2"
"111","1110705強化三級","45112.5625","45112.66667","2.5"
"111","1110704強化三級","45111.61111","45111.72569","3"
"111","1110624強化三級","45101.625","45101.69444","1.5"
"111","1110525強化三級","45071.72917","45071.83333","2.5"
"111","1110513強化三級","45059.91667","45060.41667","12"
"111","0303停電","44988.39236","44988.49306","2.5"
"110","璨樹颱風","44815.35417","44816.91667","37.5"
"110","0820大雨","44793.71528","44793.77083","1.5"
"110","0730大雨","44772.57639","44772.63194","1.5"
"110","0729大雨","44771.60764","44771.67361","1.5"
